,Artist,Total Views,Total de Inscritos,Avg
0,BTS,"27,947.9",6300.0,7.37
1,Bad Bunny,"27,573.4",6600.0,14.555
2,Justin Bieber,"27,399.7",3700.0,3.986
3,Ed Sheeran,"26,894.0",3900.0,4.609
4,Taylor Swift,"24,350.0",3800.0,5.716
5,Shakira,"23,961.8",4300.0,7.843
6,Katy Perry,"23,553.4",2500.0,3.181
7,Ozuna,"22,524.8",4900.0,4.933
8,Eminem,"20,937.7",3800.0,5.841
9,Ariana Grande,"20,618.5",3700.0,3.37
10,Daddy Yankee,"20,485.2",4100.0,4.543
11,J Balvin,"20,436.9",3400.0,3.188
12,Blackpink,"20,082.0",3200.0,8.63
13,Maroon 5,"19,430.1",3000.0,3.264
14,Rihanna,"18,683.8",3300.0,3.907
15,Maluma,"18,479.8",3000.0,3.112
16,The Weeknd,"17,668.9",3000.0,8.517
17,Bruno Mars,"16,897.5",2000.0,4.19
18,Marília Mendonça,"16,515.8",5300.0,6.397
19,Enrique Iglesias,"16,395.2",2900.0,2.655
20,David Guetta,"15,484.6",2900.0,3.744
21,Nicky Jam,"14,982.5",2900.0,1.668
22,Coldplay,"14,849.0",2100.0,4.052
23,Beyoncé,"14,681.4",3700.0,2.947
24,Calvin Harris,"14,270.5",2200.0,2.09
25,Luis Fonsi,"14,242.4",1200.0,1.574
26,Romeo Santos,"14,113.2",2600.0,4.772
27,Marshmello,"14,020.7",2900.0,2.723
28,Karol G,"13,981.8",2600.0,6.59
29,Imagine Dragons,"13,444.2",1800.0,4.884
30,Henrique e Juliano,"13,210.1",3700.0,4.97
31,Chris Brown,"13,165.0",3700.0,3.842
32,Lady Gaga,"13,156.0",2800.0,4.272
33,Gusttavo Lima,"12,899.1",3500.0,4.186
34,The Chainsmokers,"12,561.5",1900.0,1.602
35,Guru Randhawa,"12,413.4",3300.0,21.626
36,Alan Walker,"12,329.8",1800.0,2.467
37,Adele,"12,329.6",1700.0,2.6
38,Wiz Khalifa,"12,175.3",1300.0,1.896
39,Anuel AA,"12,111.8",2300.0,7.475
40,Pitbull,"11,989.9",2100.0,2.083
41,One Direction,"11,904.4",1800.0,1.776
42,Banda MS,"11,847.7",2600.0,2.664
43,TWICE,"11,667.0",2400.0,3.681
44,Michael Jackson,"11,662.2",2300.0,3.422
45,Sia,"11,545.7",1700.0,2.525
46,Post Malone,"11,345.7",1800.0,3.207
47,Neha Kakkar,"11,283.5",2000.0,2.445
48,Gummibär,"11,225.7",1300.0,2.722
49,Selena Gomez,"11,062.8",2900.0,3.544
50,Linkin Park,"11,044.5",2500.0,2.681
51,Shawn Mendes,"10,923.6",1600.0,2.006
52,Arijit Singh,"10,850.3",2300.0,3.162
53,YoungBoy Never Broke Again,"10,593.7",2600.0,4.873
54,Drake,"10,361.2",1800.0,3.218
55,Billie Eilish,"10,290.2",2200.0,3.039
56,twenty one pilots,"10,147.7",1400.0,2.028
57,Zé Neto e Cristiano,"10,133.5",2600.0,1.723
58,Los Ángeles Azules,"10,070.7",2600.0,4.093
59,PSY,"9,970.6",1000.0,2.215
60,Yo Yo Honey Singh,"9,522.4",3200.0,3.364
61,Jennifer Lopez,"9,282.3",2400.0,1.627
62,Becky G,"9,280.8",1100.0,1.743
63,Dua Lipa,"9,258.1",1600.0,2.838
64,The Black Eyed Peas,"9,223.4",1900.0,2.495
65,Avicii,"9,135.6",1700.0,1.549
66,Queen,"9,081.0",1600.0,1.88
67,Sebastián Yatra,"9,012.3",1900.0,2.762
68,Nicki Minaj,"9,000.9",2600.0,2.023
69,Rauw Alejandro,"8,927.2",2000.0,5.189
70,Major Lazer,"8,826.7",1200.0,1.188
71,XXXTENTACION,"8,823.3",1800.0,1.615
72,DJ Snake,"8,530.6",1300.0,1.891
73,Charlie Puth,"8,393.3",1000.0,1.949
74,Jorge & Mateus,"8,380.3",2200.0,2.691
75,Sam Smith,"8,294.6",1300.0,2.194
76,Future,"8,146.9",1300.0,2.297
77,Farruko,"8,116.8",2000.0,2.192
78,Jason Derulo,"8,105.5",2200.0,1.046
79,BIGBANG,"8,046.3",2100.0,1.04
80,50 Cent,"8,010.8",1500.0,2.607
81,Skrillex,"7,946.0",1600.0,0.889
82,Martin Garrix,"7,827.2",1400.0,1.202
83,Badshah,"7,822.3",1600.0,2.775
84,Miley Cyrus,"7,750.1",1900.0,1.603
85,Wesley Safadão,"7,529.7",1500.0,3.06
86,MattyB,"7,424.6",2100.0,1.34
87,Reik,"7,315.1",2000.0,2.485
88,Fifth Harmony,"7,313.4",800.0,1.008
89,Anitta,"7,278.0",2200.0,1.717
90,Natti Natasha,"7,199.6",1300.0,1.78
91,6ix9ine,"7,164.4",1400.0,0.962
92,HA-ASH,"7,159.5",1600.0,1.824
93,Meghan Trainor,"7,135.3",700.0,1.992
94,CantaJuego,"7,133.6",1200.0,2.268
95,Paulo Londra,"7,086.4",1500.0,2.373
96,Britney Spears,"7,029.7",2500.0,1.468
97,Guns N' Roses,"7,020.6",800.0,1.785
98,Arcangel,"7,017.4",1400.0,4.778
99,Crazy Frog,"6,960.4",1200.0,3.981
100,Clean Bandit,"6,930.8",800.0,0.97
101,P!nk,"6,849.0",1800.0,1.524
102,Chino & Nacho,"6,823.4",1300.0,0.958
103,Little Mix,"6,732.3",1700.0,0.997
104,Migos,"6,721.1",1100.0,1.387
105,Matheus & Kauan,"6,714.9",1600.0,1.97
106,Don Omar,"6,702.8",1500.0,2.373
107,Christian Nodal,"6,622.5",1700.0,3.274
108,CNCO,"6,618.3",1400.0,0.657
109,Cardi B,"6,573.8",1200.0,0.961
110,Mariah Carey,"6,559.4",1600.0,1.818
111,AC/DC,"6,536.9",1300.0,1.747
112,OneRepublic,"6,517.6",1000.0,1.659
113,Demi Lovato,"6,432.4",1300.0,0.615
114,Kevin Gates,"6,404.7",1100.0,1.551
115,Ricky Martin,"6,390.7",1000.0,0.9
116,Piso 21,"6,375.3",1000.0,1.838
117,Maître Gims,"6,325.5",1700.0,1.397
118,Juice WRLD,"6,317.2",1300.0,2.535
119,Idina Menzel,"6,308.3",700.0,2.603
120,Boyce Avenue,"6,300.3",1000.0,0.958
121,Prince Royce,"6,246.8",1400.0,1.778
122,Ellie Goulding,"6,235.1",1000.0,0.673
123,EXO,"6,215.5",1600.0,0.964
124,DJ Khaled,"6,195.1",1100.0,1.044
125,Justin Timberlake,"6,105.6",1200.0,1.135
126,Thalia,"6,024.0",1200.0,1.074
127,Travis Scott,"6,007.9",1400.0,1.371
128,Sidhu Moose Wala,"5,992.2",1800.0,5.752
129,Lil Baby,"5,916.0",1800.0,3.232
130,Jass Manak,"5,887.3",1500.0,1.511
131,Inna,"5,866.9",1500.0,1.417
132,Cartel de Santa,"5,816.6",1800.0,2.076
133,Patati Patatá,"5,791.6",1300.0,2.335
134,Maiara & Maraisa,"5,785.9",1200.0,1.957
135,Red Hot Chili Peppers,"5,764.1",1200.0,1.587
136,Calibre 50,"5,736.5",1500.0,2.263
137,Haschak Sisters,"5,670.8",1600.0,0.503
138,Bon Jovi,"5,623.1",900.0,1.463
139,Myke Towers,"5,616.2",1100.0,2.45
140,Mark Ronson,"5,591.5",300.0,1.216
141,Pentatonix,"5,583.6",1300.0,0.552
142,Wisin,"5,578.5",1200.0,0.955
143,Camila Cabello,"5,571.8",1200.0,0.857
144,Nio García,"5,471.4",800.0,0.915
145,Avril Lavigne,"5,456.0",1600.0,1.039
146,Metallica,"5,430.2",700.0,1.588
147,Juan Gabriel,"5,426.8",1100.0,1.509
148,Lana Del Rey,"5,409.7",1200.0,1.716
149,Hariharan,"5,345.6",800.0,4.076
150,Yasmin Verissimo,"5,341.8",1500.0,2.464
151,Manuel Turizo,"5,332.8",1000.0,2.929
152,Ricardo Arjona,"5,268.8",800.0,1.774
153,Kodak Black,"5,246.1",1300.0,1.726
154,Lil Nas X,"5,200.8",1000.0,1.315
155,MC Kevinho,"5,188.9",1200.0,0.249
156,Marc Anthony,"5,173.6",1300.0,1.497
157,Luan Santana,"5,164.4",1400.0,1.812
